IDU,Nom,M. poste,Nat,Âge,Taille,Pied,Club,Division,%ct,%cadrés,%vers_avant,%pas.,%pres.,%Tcl_R,%tetes,buts_90,Xg(+),Dist_90,Drb_90,FS_90,Int_90,OcF_90,Pas_cl_90,Pas_prg_90,Poss_perdue_90,Pres_90,Sprints_90,Tacl_dé_90,Xa_90,%conv.,xGÉ,ra
2000113245,Jean-Mattéo Bahoya,MO (G),FRA,21,180,Droit,Angers SCO,Ligue 1 Uber Eats,,"0,70","0,07","0,81","0,22","0,72","0,26","0,507","8,09","13,70","2,74","2,21","1,38","0,43","0,77","2,50","0,63","2,21","14,32","0,07","0,16","0,35","0,00","0,00"
19380090,Rômulo Cardoso,MO (D),BRA,24,193,Droit,ATP,Serie A Bresil,"0,21","0,66","0,05","0,84","0,24","0,70","0,43","0,635","7,34","11,40","1,02","1,58","1,41","0,28","0,70","1,02","0,72","2,12","6,62","0,00","0,09","0,24","0,00","0,00"
13173388,Meschack Elia,MO (D),COD,28,173,Inconnu,Young Boys,Super League suisse,"0,24","0,53","0,06","0,89","0,30","0,78","0,19","0,515","7,20","12,70","1,38","1,83","1,17","0,34","0,83","1,47","0,27","2,26","8,19","0,00","0,09","0,25","0,00","0,00"
95080710,Depú,BT (C),ANG,26,172,Droit,Gil Vicente,Première Ligue portugaise,"0,18","0,58","0,03","0,87","0,23","0,75","0,31","0,537","6,97","12,30","1,12","0,95","0,79","0,31","0,84","0,84","0,22","1,26","6,72","0,05","0,10","0,30","0,00","0,00"
13231887,Mostafa Mohamed,BT (C),EGY,28,185,Droit,FC Nantes,Ligue 1 Uber Eats,,"0,58","0,02","0,81","0,23","0,70","0,48","0,653","6,95","12,90","0,76","1,73","1,00","0,14","0,32","0,54","0,33","1,93","8,43","0,00","0,04","0,30","0,00","0,00"
2000104892,Eliesse Ben Seghir,MO (C),FRA,21,178,Droit,AS Monaco,Ligue 1 Uber Eats,"0,17","0,52","0,07","0,85","0,26","0,74","0,11","0,532","6,83","14,30","2,45","1,41","1,50","0,29","1,34","2,65","0,45","3,64","15,37","0,00","0,18","0,30","0,00","0,00"
19213297,Renato Kayser,BT (C),BRA,30,178,Droit,VIT,Serie A Bresil,"0,09","0,57","0,04","0,87","0,31","0,80","0,19","0,569","6,74","11,50","0,83","2,07","0,41","0,31","0,67","0,83","0,55","1,38","6,63","0,07","0,14","0,26","0,00","0,00"
37070210,Thijs Dallinga,BT (C),NED,25,180,Droit,Bologna,Italian Serie A,,"0,56","0,02","0,87","0,17","0,70","0,40","0,423","6,51","11,60","0,69","1,28","0,69","0,09","0,45","0,28","0,19","1,07","5,32","0,03","0,05","0,20","0,00","0,00"
83261927,Tiago Tomás,BT (C),POR,23,180,Droit,Strasbourg,Ligue 1 Uber Eats,"0,13","0,46","0,08","0,82","0,30","0,68","0,34","0,699","6,25","13,00","1,78","1,15","1,41","0,86","1,83","1,89","0,65","2,69","11,71","0,00","0,29","0,31","0,00","0,00"
30035404,Gabriel Barbosa,BT (C),BRA,29,178,Gauche exc.,CEC,Serie A Bresil,"0,16","0,49","0,04","0,88","0,23","0,66","0,22","0,519","5,90","11,70","0,89","2,16","1,00","0,31","0,69","0,85","0,48","1,48","6,50","0,00","0,27","0,19","0,00","0,00"
